,name,link,Academics,Value,Diversity,Campus,Athletics,Party_Scene,Professors,Location,Dorms,Campus_Food,Student_Life,Safety,des,street,city,state,zip,Accept_Rate,SAT,ACT,Application_fee,Price_per_year,major_rank,Acceptance Rate,Total_Applicants,SAT Range,SAT Reading,SAT Math,Students Submitting SAT
10,Rice University,https://www.niche.com/colleges/rice-university/,A+,A+,A+,A+,A,A-,A+,B+,A+,A+,A+,B-,"Rice is a highly rated private university located in Houston, Texas. It is a small institution with an enrollment of 3,916 undergraduate students. Admissions is competitive as the Rice acceptance rate is 16%. Popular majors include Economics, Information Science, and Chemical Engineering. Graduating 91% of students, Rice alumni go on to earn a starting salary of $54,200.",6100 S Main St,Houston,TX,77005,16%,1490-1580,33-35,$75 ,"$24,131 ",Economics; Information Science; Chemical Engineering; Biochemistry and Molecular Biology; Mechanical Engineering; Kinesiology and Exercise Science; Cognitive Science; Psychology; Sport and Fitness Management; Architecture; ,16%,"18,063",1490-1580,730-780,760-800,60%
11,University of Notre Dame,https://www.niche.com/colleges/university-of-notre-dame/,A+,A+,A-,A+,A+,A-,A+,C,A,A+,A+,B,"Notre Dame is a highly rated private, Catholic university located in Portage Township, Indiana in the South Bend Area. It is a mid-size institution with an enrollment of 8,557 undergraduate students. Admissions is competitive as the Notre Dame acceptance rate is 19%. Popular majors include Finance, Accounting, and Economics. Graduating 95% of students, Notre Dame alumni go on to earn a starting salary of $56,800.",400 Main Building,Notre Dame,IN,46556,19%,1370-1520,32-34,$75 ,"$27,453 ",Finance; Accounting; Economics; Political Science and Government; Mathematics; Pre-Medicine Studies; Psychology; Mechanical Engineering; Marketing; Chemical Engineering; ,19%,"19,564",1370-1520,680-750,690-770,36%
12,Northwestern University,https://www.niche.com/colleges/northwestern-university/,A+,A+,A,A,A,A-,A+,A,B,B,A+,B,"Northwestern is an elite private university located in Evanston, Illinois in the Chicago Area. It is a mid-size institution with an enrollment of 8,205 undergraduate students. Admissions is extremely competitive as the Northwestern acceptance rate is only 9%. Popular majors include Economics, Communications, and Psychology. Graduating 94% of students, Northwestern alumni go on to earn a starting salary of $57,300.",633 Clark St,Evanston,IL,60208,9%,1420-1560,32-34,$75 ,"$26,099 ",Economics; Communications; Psychology; Journalism; Political Science and Government; Biology; Industrial Engineering; Radio and Television; Mechanical Engineering; Drama and Theatre Production; ,9%,"37,259",1420-1560,700-770,720-790,35%
13,Pomona College,https://www.niche.com/colleges/pomona-college/,A+,A+,A+,A+,B-,B,A+,B+,A+,A+,A+,B,"Pomona is an elite private college located in Claremont, California in the Los Angeles Area. It is a small institution with an enrollment of 1,578 undergraduate students. Admissions is extremely competitive as the Pomona acceptance rate is only 8%. Popular majors include Economics, Computer Science, and Mathematics. Graduating 93% of students, Pomona alumni go on to earn a starting salary of $36,300.",550 N College Ave,Claremont,CA,91711,8%,1370-1530,30-34,$70 ,"$18,427 ",Economics; Computer Science; Mathematics; Psychology; Neuroscience and Neurobiology; Political Science and Government; International Relations; Biology; Environmental Science; Biochemistry and Molecular Biology; ,8%,"9,045",1370-1530,690-760,680-770,52%
14,Dartmouth College,https://www.niche.com/colleges/dartmouth-college/,A+,A+,A,B+,A-,B+,A+,C,B+,A,A,B,"Dartmouth is a highly rated private college located in Hanover, New Hampshire. It is a small institution with an enrollment of 4,360 undergraduate students. Admissions is extremely competitive as the Dartmouth acceptance rate is 10%. Popular majors include Economics, Political Science and Government, and Computer Science. Graduating 96% of students, Dartmouth alumni go on to earn a starting salary of $54,700.",207 Parkhurst Hall,Hanover,NH,3755,10%,1430-1560,30-34,$80 ,"$22,303 ",Economics; Political Science and Government; Computer Science; Engineering Science; History; Biology; Neuroscience and Neurobiology; Psychology; Mathematics; Geography; ,10%,"20,035",1430-1560,710-770,720-790,52%
15,University of Southern California,https://www.niche.com/colleges/university-of-southern-california/,A+,A+,A+,A+,A+,A+,A+,B+,A-,A-,A+,B,"USC is a highly rated private university located in Los Angeles, California. It is a large institution with an enrollment of 18,631 undergraduate students. Admissions is competitive as the USC acceptance rate is 17%. Popular majors include Business, Communications, and Biology. Graduating 92% of students, USC alumni go on to earn a starting salary of $52,800.",University Park,Los Angeles,CA,90089,17%,1300-1500,30-34,$80 ,"$32,892 ","Business; Communications; Biology; Accounting; International Relations; Economics; Computer Science; Psychology; Urban, Community and Regional Planning; Film and Video Studies; ",17%,"56,676",1300-1500,650-730,650-770,55%
16,Cornell University,https://www.niche.com/colleges/cornell-university/,A+,A+,A+,A-,B+,A,A+,B-,C+,A+,A,B,"Cornell is a highly rated private university located in Ithaca, New York. It is a large institution with an enrollment of 14,898 undergraduate students. Admissions is extremely competitive as the Cornell acceptance rate is 13%. Popular majors include Biology, Computer Science, and Business. Graduating 93% of students, Cornell alumni go on to earn a starting salary of $60,000.",300 Day Hall,Ithaca,NY,14853,13%,1390-1550,31-34,$80 ,"$31,449 ",Biology; Computer Science; Business; Hospitality and Tourism Management; Agricultural Business; Economics; Mechanical Engineering; Engineering; Political Science and Government; Animal Sciences and Husbandry; ,13%,"47,039",1390-1550,690-760,700-790,64%
17,Georgetown University,https://www.niche.com/colleges/georgetown-university/,A+,A+,A,B,A-,A,A+,A+,C+,C+,A+,C+,"Georgetown is a highly rated private, Catholic university located in Washington, D.C. It is a mid-size institution with an enrollment of 6,987 undergraduate students. Admissions is competitive as the Georgetown acceptance rate is 16%. Popular majors include Political Science and Government, International Relations, and Finance. Graduating 95% of students, Georgetown alumni go on to earn a starting salary of $61,900.",37th and O St NW,Washington,DC,20057,16%,1350-1520,30-34,$75 ,"$27,420 ",Political Science and Government; International Relations; Finance; Economics; Liberal Arts and Humanities; English; Psychology; Marketing; Business; International Business; ,16%,"21,462",1350-1520,680-760,670-760,68%
18,University of Michigan - Ann Arbor,https://www.niche.com/colleges/university-of-michigan---ann-arbor/,A+,A+,A,A+,A+,A+,A+,A,B+,A+,A+,B-,"Michigan is a highly rated public university located in Ann Arbor, Michigan in the Detroit Area. It is a large institution with an enrollment of 28,702 undergraduate students. Admissions is competitive as the Michigan acceptance rate is 27%. Popular majors include Information Science, Business, and Research and Experimental Psychology. Graduating 92% of students, Michigan alumni go on to earn a starting salary of $49,600.",503 Thompson Street,Ann Arbor,MI,48109,27%,1330-1500,30-33,$75 ,"$16,408 ",Information Science; Business; Research and Experimental Psychology; Economics; Political Science and Government; Physiological Psychology; Mechanical Engineering; Communications; Neuroscience and Neurobiology; Industrial Engineering; ,27%,"59,886",1330-1500,660-730,670-770,53%
19,Amherst College,https://www.niche.com/colleges/amherst-college/,A+,A+,A+,A-,A,B,A+,B+,A,B-,A+,A-,"Amherst is a highly rated private college located in Amherst Center, Massachusetts in the Springfield, MA Area. It is a small institution with an enrollment of 1,836 undergraduate students. Admissions is extremely competitive as the Amherst acceptance rate is 13%. Popular majors include Economics, Research and Experimental Psychology, and Mathematics. Graduating 95% of students, Amherst alumni go on to earn a starting salary of $42,300.",Boltwood Avenue,Amherst,MA,1002,13%,1400-1560,32-34,$60 ,"$19,519 ",Economics; Research and Experimental Psychology; Mathematics; English; Political Science and Government; Biology; Computer Science; History; Environmental Science; Sociology; ,13%,"9,285",1400-1560,700-770,700-790,33%
