,name,link,Academics,Value,Diversity,Campus,Athletics,Party_Scene,Professors,Location,Dorms,Campus_Food,Student_Life,Safety,des,street,city,state,zip,Accept_Rate,SAT,ACT,Application_fee,Price_per_year,major_rank,Acceptance Rate,Total_Applicants,SAT Range,SAT Reading,SAT Math,Students Submitting SAT
63,Case Western Reserve University,https://www.niche.com/colleges/case-western-reserve-university/,A+,A+,A,C+,C+,B,A+,A-,C,C+,B+,C+,"Case Western is a highly rated private university located in Cleveland, Ohio. It is a small institution with an enrollment of 4,978 undergraduate students. Admissions is fairly competitive as the Case Western acceptance rate is 33%. Popular majors include Bioengineering and Biomedical Engineering, Mechanical Engineering, and Computer Science. Graduating 83% of students, Case Western alumni go on to earn a starting salary of $58,300.",10900 Euclid Ave.,Cleveland,OH,44106,33%,1340-1520,30-33,$70 ,"$34,973 ",Bioengineering and Biomedical Engineering; Mechanical Engineering; Computer Science; Psychology; Nursing; Biology; Chemical Engineering; Accounting; Biochemistry and Molecular Biology; Finance; ,33%,"25,380",1340-1520,650-740,690-780,51%
64,The Cooper Union for the Advancement of Science and Art,https://www.niche.com/colleges/the-cooper-union-for-the-advancement-of-science-and-art/,A+,A,A,NG,NG,NG,B+,A+,NG,NG,A+,A-,"Cooper Union is a highly rated private college located in Manhattan, New York in the New York City Area. It is a small institution with an enrollment of 859 undergraduate students. Admissions is extremely competitive as the Cooper Union acceptance rate is 13%. Popular majors include Studio Arts, Mechanical Engineering, and Electrical Engineering. Graduating 85% of students, Cooper Union alumni go on to earn a starting salary of $42,100.",7 East 7th Street,New York,NY,10003,13%,1310-1530,28-34,$75 ,"$28,494 ",Studio Arts; Mechanical Engineering; Electrical Engineering; Architecture; Chemical Engineering; Civil Engineering; Engineering; ,13%,"2,574",1310-1530,650-740,660-790,70%
65,Southern Methodist University,https://www.niche.com/colleges/southern-methodist-university/,A+,A,A-,A,A,A+,A+,A+,B+,B+,A+,B,"Southern Methodist is a highly rated private, Christian university located in University Park, Texas in the Dallas-Fort Worth Area. It is a mid-size institution with an enrollment of 6,240 undergraduate students. Admissions is fairly competitive as the Southern Methodist acceptance rate is 49%. Popular majors include Economics, Finance, and Accounting. Graduating 81% of students, Southern Methodist alumni go on to earn a starting salary of $48,400.",6425 Boaz St,Dallas,TX,75275,49%,1270-1440,28-32,$60 ,"$36,458 ",Economics; Finance; Accounting; Marketing; Sport and Fitness Management; Communications; Mechanical Engineering; Mathematics; Biology; Psychology; ,49%,"13,128",1270-1440,630-710,640-730,36%
66,Rensselaer Polytechnic Institute,https://www.niche.com/colleges/rensselaer-polytechnic-institute/,A+,A+,A,C+,B,A-,A+,B-,B-,C+,A-,B,"RPI is a highly rated private college located in Troy, New York in the Albany Area. It is a mid-size institution with an enrollment of 6,200 undergraduate students. Admissions is fairly competitive as the RPI acceptance rate is 44%. Popular majors include Mechanical Engineering, Computer Science, and Bioengineering and Biomedical Engineering. Graduating 80% of students, RPI alumni go on to earn a starting salary of $63,100.",110 8th Street,Troy,NY,12180,44%,1320-1500,28-32,$70 ,"$37,648 ",Mechanical Engineering; Computer Science; Bioengineering and Biomedical Engineering; Electrical Engineering; Chemical Engineering; Aerospace Engineering; Computer Systems Technician; Business; Mathematics; Civil Engineering; ,44%,"19,505",1320-1500,640-730,680-770,66%
67,Purdue University,https://www.niche.com/colleges/purdue-university/,A,A+,A,A-,A,A,A+,C+,B,A+,A+,B,"Purdue is a highly rated public university located in Wabash Township, Indiana. It is a large institution with an enrollment of 30,277 undergraduate students. Admissions is fairly competitive as the Purdue acceptance rate is 57%. Popular majors include Business, Mechanical Engineering, and Industrial Engineering. Graduating 78% of students, Purdue alumni go on to earn a starting salary of $43,000.",Hovde Hall of Administration,West Lafayette,IN,47907,57%,1150-1380,25-31,$60 ,"$12,117 ",Business; Mechanical Engineering; Industrial Engineering; Computer Science; Accounting; Electrical Engineering; Statistics; Mechanical Engineering Technician; Agricultural Business; Chemical Engineering; ,57%,"49,354",1150-1380,570-670,580-710,69%
68,University of Miami,https://www.niche.com/colleges/university-of-miami/,A+,A-,A+,A-,A+,A+,A+,A,C,C+,A+,B,"Miami is a highly rated private university located in Coral Gables, Florida in the Miami Area. It is a large institution with an enrollment of 10,216 undergraduate students. Admissions is fairly competitive as the Miami acceptance rate is 36%. Popular majors include Finance, Nursing, and Economics. Graduating 84% of students, Miami alumni go on to earn a starting salary of $46,300.",University of Miami,Coral Gables,FL,33146,36%,1230-1420,28-32,$70 ,"$42,204 ",Finance; Nursing; Economics; Psychology; Biology; Marketing; Business; Political Science and Government; Accounting; Advertising; ,36%,"30,638",1230-1420,620-700,610-720,38%
69,Colorado College,https://www.niche.com/colleges/colorado-college/,A+,A,A,A-,B,B+,A,C+,A-,A+,A-,C-,"Colorado College is a highly rated private college located in Colorado Springs, Colorado. It is a small institution with an enrollment of 2,091 undergraduate students. Admissions is competitive as the Colorado College acceptance rate is 15%. Popular majors include Economics, Environmental Science, and Liberal Arts and Humanities. Graduating 88% of students, Colorado College alumni go on to earn a starting salary of $30,500.",14. E Cache La Poudre St.,Colorado Springs,CO,80903,15%,1220-1430,28-32,$60 ,"$29,528 ",Economics; Environmental Science; Liberal Arts and Humanities; Political Science and Government; Sociology; Cellular Biology; Ecology and Evolutionary Biology; Psychology; Neuroscience and Neurobiology; Studio Arts; ,15%,"8,223",1220-1430,630-720,610-710,49%
70,University of California - Santa Barbara,https://www.niche.com/colleges/university-of-california---santa-barbara/,A,A,A,A,B+,A+,A+,NG,A-,A-,A+,C+,"UC Santa Barbara is a highly rated public university located in Isla Vista, California in the Santa Barbara Area. It is a large institution with an enrollment of 21,777 undergraduate students. Admissions is fairly competitive as the UC Santa Barbara acceptance rate is 33%. Popular majors include Economics, Research and Experimental Psychology, and Sociology. Graduating 81% of students, UC Santa Barbara alumni go on to earn a starting salary of $36,000.",5221 Cheadle Hall,Santa Barbara,CA,93106,33%,1190-1400,28-33,$70 ,"$16,154 ",Economics; Research and Experimental Psychology; Sociology; Communications; International Studies; Biology; Environmental Science; Political Science and Government; Physiological Psychology; English; ,33%,"81,824",1190-1400,600-680,590-720,75%
71,University of Minnesota - Twin Cities,https://www.niche.com/colleges/university-of-minnesota---twin-cities/,A+,A,A,A,A+,A+,A,A+,C+,B+,A+,C+,"University of Minnesota is a highly rated public university located in Minneapolis, Minnesota. It is a large institution with an enrollment of 29,991 undergraduate students. Admissions is fairly competitive as the University of Minnesota acceptance rate is 50%. Popular majors include Psychology, Economics, and Computer Science. Graduating 80% of students, University of Minnesota alumni go on to earn a starting salary of $40,000.",100 Church Street SE,Minneapolis,MN,55455,50%,1270-1480,26-31,$55 ,"$16,808 ",Psychology; Economics; Computer Science; Biology; Journalism; Rhetoric and Composition; Finance; Mathematics; Liberal Arts and Humanities; Political Science and Government; ,50%,"43,720",1270-1480,620-720,650-760,13%
72,Penn State,https://www.niche.com/colleges/penn-state/,A,A,A,A,A+,A+,A+,A-,B-,A,A+,B-,"Penn State is a highly rated public college located in State College, Pennsylvania. It is a big institution with an enrollment of 39,785 undergraduate students. Admissions is fairly competitive as the Penn State acceptance rate is 50%. Popular majors include Information Science, Biology, and Economics. Graduating 85% of students, Penn State alumni go on to earn a starting salary of $38,600.",201 Old Main,University Park,PA,16802,50%,1160-1340,25-30,$65 ,"$25,346 ",Information Science; Biology; Economics; Finance; Mechanical Engineering; Accounting; Psychology; Public Relations; Marketing; Communications; ,50%,"56,114",1160-1340,580-660,580-680,65%
73,Texas A&M University,https://www.niche.com/colleges/texas-a-and-m-university/,A,A+,A-,A-,A+,A,A+,B,B,A-,A+,B,"Texas A&M is a highly rated public university located in College Station, Texas. It is a large institution with an enrollment of 46,724 undergraduate students. Admissions is somewhat competitive as the Texas A&M acceptance rate is 71%. Popular majors include Liberal Arts and Humanities, Foods, Nutrition, and Wellness Studies, and Agricultural Business. Graduating 82% of students, Texas A&M alumni go on to earn a starting salary of $46,300.","JKW Administration Building, Suite 100",College Station,TX,77843,71%,1140-1360,25-30,$75 ,"$19,554 ","Liberal Arts and Humanities; Foods, Nutrition, and Wellness Studies; Agricultural Business; Psychology; Business; Biomedical Sciences and Molecular Medicine; Accounting; Communications; Construction Engineering Technician; Animal Sciences and Husbandry; ",71%,"36,669",1140-1360,570-670,570-690,55%
74,The Ohio State University,https://www.niche.com/colleges/the-ohio-state-university/,A,A,A,A+,A+,A+,A,A,B,A,A+,C+,"Ohio State is a highly rated public university located in Columbus, Ohio. It is a large institution with an enrollment of 42,003 undergraduate students. Admissions is fairly competitive as the Ohio State acceptance rate is 48%. Popular majors include Communications, Psychology, and Finance. Graduating 83% of students, Ohio State alumni go on to earn a starting salary of $36,000.",190 N. Oval Mall,Columbus,OH,43210,48%,1260-1450,27-31,$60 ,"$18,042 ",Communications; Psychology; Finance; Marketing; Biology; Accounting; Economics; Computer Hardware Engineering; Nursing; Political Science and Government; ,48%,"47,782",1260-1450,610-700,650-750,29%
75,Stevens Institute of Technology,https://www.niche.com/colleges/stevens-institute-of-technology/,A,A+,A-,B,B-,A,A,A+,C-,C,A,A-,"Stevens is a highly rated private college located in Hoboken, New Jersey in the New York City Area. It is a small institution with an enrollment of 3,113 undergraduate students. Admissions is fairly competitive as the Stevens acceptance rate is 44%. Popular majors include Mechanical Engineering, Business, and Electrical Engineering. Graduating 83% of students, Stevens alumni go on to earn a starting salary of $65,600.",1 Castle Point Terrace,Hoboken,NJ,8822,44%,1320-1470,29-33,$70 ,"$38,469 ",Mechanical Engineering; Business; Electrical Engineering; Civil Engineering; Chemical Engineering; Bioengineering and Biomedical Engineering; Engineering; Computer Hardware Engineering; Computer Science; Music Technology; ,44%,"8,335",1320-1470,640-710,680-760,55%
76,Mount Holyoke College,https://www.niche.com/colleges/mount-holyoke-college/,A+,A,A,A,NG,C+,A+,C+,A,A,A-,B+,"Mount Holyoke is a highly rated private college located in South Hadley, Massachusetts in the Springfield, MA Area. It is a small institution with an enrollment of 2,161 undergraduate students. Admissions is fairly competitive as the Mount Holyoke acceptance rate is 51%. Popular majors include Economics, Biology, and English. Graduating 86% of students, Mount Holyoke alumni go on to earn a starting salary of $31,600.",50 College Street,South Hadley,MA,1075,51%,1270-1460,29-33,$60 ,"$29,784 ",Economics; Biology; English; Psychology; Computer Science; International Relations; Neuroscience and Neurobiology; Environmental Science; Political Science and Government; History; ,51%,"3,446",1270-1460,640-710,630-750,48%
77,North Carolina State University,https://www.niche.com/colleges/north-carolina-state-university/,A,A+,A-,A-,A+,A,A,A-,B,A-,A+,B-,"NC State is a highly rated public university located in Raleigh, North Carolina. It is a large institution with an enrollment of 21,384 undergraduate students. Admissions is fairly competitive as the NC State acceptance rate is 51%. Popular majors include Business, Biology, and Engineering. Graduating 79% of students, NC State alumni go on to earn a starting salary of $39,000.",2101 Hillsborough Street,Raleigh,NC,27695,51%,1230-1390,26-31,$85 ,"$13,442 ",Business; Biology; Engineering; Communications; Electrical Engineering; Animal Sciences and Husbandry; Mechanical Engineering; Psychology; Accounting; Chemical Engineering; ,51%,"26,980",1230-1390,610-680,620-710,41%
78,Santa Clara University,https://www.niche.com/colleges/santa-clara-university/,A,A+,A,A,B+,A,B+,B+,A+,A,A,B-,"Santa Clara is a highly rated private, Catholic university located in Santa Clara, California in the San Francisco Bay Area. It is a mid-size institution with an enrollment of 5,411 undergraduate students. Admissions is fairly competitive as the Santa Clara acceptance rate is 54%. Popular majors include Finance, Communications, and Psychology. Graduating 90% of students, Santa Clara alumni go on to earn a starting salary of $53,600.",500 El Camino Real,Santa Clara,CA,95053,54%,1270-1440,28-32,$60 ,"$38,900 ",Finance; Communications; Psychology; Economics; Political Science and Government; Biology; Marketing; Mechanical Engineering; Accounting; Computer Hardware Engineering; ,54%,"15,061",1270-1440,630-710,640-730,47%
79,Villanova University,https://www.niche.com/colleges/villanova-university/,A,A+,B,B+,A,B+,A-,B+,B,B,A,B,"Villanova is a highly rated private, Catholic university located in Radnor Township, Pennsylvania in the Philadelphia Area. It is a mid-size institution with an enrollment of 6,525 undergraduate students. Admissions is fairly competitive as the Villanova acceptance rate is 36%. Popular majors include Nursing, Finance, and Communications. Graduating 90% of students, Villanova alumni go on to earn a starting salary of $59,100.",800 East Lancaster Avenue,Villanova,PA,19085,36%,1250-1440,30-33,$80 ,"$35,491 ",Nursing; Finance; Communications; Economics; Accounting; Political Science and Government; Psychology; Biology; Mechanical Engineering; Chemical Engineering; ,36%,"21,123",1250-1440,620-710,630-730,39%
80,Rose-Hulman Institute of Technology,https://www.niche.com/colleges/rose-hulman-institute-of-technology/,A,A+,A-,B+,B-,B,A-,C+,B+,B-,A,A-,"Rose-Hulman is a highly rated private college located in Terre Haute, Indiana. It is a small institution with an enrollment of 2,147 undergraduate students. Admissions is somewhat competitive as the Rose-Hulman acceptance rate is 61%. Popular majors include Mechanical Engineering, Chemical Engineering, and Computer Science. Graduating 81% of students, Rose-Hulman alumni go on to earn a starting salary of $68,000.",5500 Wabash Avenue,Terre Haute,IN,47803,61%,1260-1450,27-32,$50 ,"$41,536 ",Mechanical Engineering; Chemical Engineering; Computer Science; Electrical Engineering; Computer Software Engineering; Bioengineering and Biomedical Engineering; Civil Engineering; Computer Hardware Engineering; Mathematics; Chemistry; ,61%,"4,473",1260-1450,610-690,650-760,52%
81,Scripps College,https://www.niche.com/colleges/scripps-college/,A+,A-,A,A,NG,B,A+,B+,A,A,A,B,"Scripps is a highly rated private college located in Claremont, California in the Los Angeles Area. It is a small institution with an enrollment of 1,060 undergraduate students. Admissions is fairly competitive as the Scripps acceptance rate is 33%. Popular majors include Biology, Psychology, and Political Science and Government. Graduating 88% of students, Scripps alumni go on to earn a starting salary of $37,500.",1030 North Columbia Avenue,Claremont,CA,91711,33%,1290-1460,29-33,$60 ,"$36,831 ",Biology; Psychology; Political Science and Government; Biochemistry and Molecular Biology; English; Communications; Economics; Environmental Science; Liberal Arts and Humanities; Neuroscience and Neurobiology; ,33%,"2,841",1290-1460,660-730,630-730,51%
82,Clemson University,https://www.niche.com/colleges/clemson-university/,A,A+,B+,A,A+,A,A,B,B-,B,A+,B-,"Clemson is a highly rated public university located in South Carolina. It is a large institution with an enrollment of 18,642 undergraduate students. Admissions is fairly competitive as the Clemson acceptance rate is 47%. Popular majors include Business, Biology, and Marketing. Graduating 82% of students, Clemson alumni go on to earn a starting salary of $40,600.",201 Sikes Hall,Clemson,SC,29634,47%,1220-1390,27-31,$70 ,"$18,757 ","Business; Biology; Marketing; Psychology; Mechanical Engineering; Industrial Engineering; Nursing; Finance; Parks, Recreation and Leisure Studies; Information Science; ",47%,"26,242",1220-1390,620-690,600-700,39%
83,University of Tulsa,https://www.niche.com/colleges/university-of-tulsa/,A+,A,A,B+,A,B+,A+,B-,B+,B-,A-,C+,"Tulsa is a highly rated private, Christian university located in Tulsa, Oklahoma. It is a small institution with an enrollment of 3,203 undergraduate students. Admissions is fairly competitive as the Tulsa acceptance rate is 39%. Popular majors include Mechanical Engineering, Finance, and Mining and Petroleum Engineering. Graduating 69% of students, Tulsa alumni go on to earn a starting salary of $37,800.",800 South Tucker Drive,Tulsa,OK,74104,39%,1150-1440,25-32,$50 ,"$25,086 ",Mechanical Engineering; Finance; Mining and Petroleum Engineering; Accounting; Business; Chemical Engineering; Psychology; Kinesiology and Exercise Science; Biology; Nursing; ,39%,"7,869",1150-1440,590-720,560-720,20%
84,University of Maryland - College Park,https://www.niche.com/colleges/university-of-maryland---college-park/,A,A+,A,B,A+,A+,A-,C+,C-,B-,A+,C+,"Maryland is a highly rated public university located in College Park, Maryland in the Washington, D.C. Area. It is a large institution with an enrollment of 27,708 undergraduate students. Admissions is fairly competitive as the Maryland acceptance rate is 45%. Popular majors include Information Science, Biology, and Economics. Graduating 85% of students, Maryland alumni go on to earn a starting salary of $45,500.",Mitchell Building,College Park,MD,20742,45%,1280-1470,29-33,$75 ,"$17,241 ",Information Science; Biology; Economics; Criminology; Finance; Mechanical Engineering; Psychology; Accounting; Communications; Kinesiology and Exercise Science; ,45%,"33,922",1280-1470,630-720,650-750,62%
85,Wheaton College - Illinois,https://www.niche.com/colleges/wheaton-college---illinois/,A,A,A-,A+,B,D+,A-,B-,A,A+,A,A,"Wheaton is a highly rated private, non-denominational college located in Wheaton, Illinois in the Chicago Area. It is a small institution with an enrollment of 2,310 undergraduate students. The Wheaton acceptance rate is 85%. Popular majors include Managerial Economics, English, and Health Service Preparatory Studies. Graduating 89% of students, Wheaton alumni go on to earn a starting salary of $33,300.",501 College Ave,Wheaton,IL,60187,85%,1230-1410,27-32,$50 ,"$30,021 ",Managerial Economics; English; Health Service Preparatory Studies; Communications; Psychology; Biology; Economics; Biblical Studies; Elementary Education; History; ,85%,"1,693",1230-1410,630-720,600-690,47%
86,University of Pittsburgh,https://www.niche.com/colleges/university-of-pittsburgh/,A,A,A-,A-,A+,A+,A,A+,B-,B,A+,C+,"Pitt is a highly rated public university located in Pittsburgh, Pennsylvania. It is a large institution with an enrollment of 18,390 undergraduate students. Admissions is fairly competitive as the Pitt acceptance rate is 60%. Popular majors include Psychology, Liberal Arts and Humanities, and Finance. Graduating 82% of students, Pitt alumni go on to earn a starting salary of $37,600.",4200 Fifth Avenue,Pittsburgh,PA,15260,60%,1240-1420,27-32,$45 ,"$22,848 ",Psychology; Liberal Arts and Humanities; Finance; Biology; Nursing; Neuroscience and Neurobiology; Marketing; Economics; Rehabilitation and Therapy; Mechanical Engineering; ,60%,"27,679",1240-1420,620-700,620-720,78%
87,University of California - Davis,https://www.niche.com/colleges/university-of-california---davis/,A,A+,A,A,A-,B+,A,NG,A-,A,A,B,"UC Davis is a highly rated public university located in University of California-Davis, California in the Sacramento Area. It is a large institution with an enrollment of 29,284 undergraduate students. Admissions is fairly competitive as the UC Davis acceptance rate is 43%. Popular majors include Research and Experimental Psychology, Economics, and Managerial Economics. Graduating 85% of students, UC Davis alumni go on to earn a starting salary of $37,600.",One Shields Avenue,Davis,CA,95616,43%,1130-1360,25-32,$70 ,"$16,446 ",Research and Experimental Psychology; Economics; Managerial Economics; Neuroscience and Neurobiology; Biology; Communications; Human Development; Computer Science; Political Science and Government; Animal Sciences and Husbandry; ,43%,"70,952",1130-1360,560-660,570-700,81%
88,Yeshiva University,https://www.niche.com/colleges/yeshiva-university/,A+,A,B+,B+,C,B+,A+,A,A-,A-,A,A-,"Yeshiva is a highly rated private university located in Manhattan, New York in the New York City Area. It is a small institution with an enrollment of 2,646 undergraduate students. Admissions is somewhat competitive as the Yeshiva acceptance rate is 63%. Popular majors include Religious Studies, Biology, and Accounting. Graduating 82% of students, Yeshiva alumni go on to earn a starting salary of $39,200.",500 W 185th St,New York,NY,10033,63%,1160-1420,23-29,$65 ,"$31,873 ",Religious Studies; Biology; Accounting; Psychology; Business; Finance; Marketing; Liberal Arts and Humanities; Economics; Mathematics; ,63%,"1,861",1160-1420,600-710,560-710,53%
89,Brandeis University,https://www.niche.com/colleges/brandeis-university/,A+,A,A,C-,C+,B-,A+,B,C,C+,B-,B,"Brandeis is a highly rated private university located in Waltham, Massachusetts in the Boston Area. It is a small institution with an enrollment of 3,620 undergraduate students. Admissions is fairly competitive as the Brandeis acceptance rate is 34%. Popular majors include Economics, Biology, and Business. Graduating 90% of students, Brandeis alumni go on to earn a starting salary of $40,000.",415 South St,Waltham,MA,2454,34%,1280-1470,29-33,$80 ,"$32,714 ",Economics; Biology; Business; Psychology; Public Policy Analysis; Computer Science; Mathematics; Political Science and Government; Neuroscience and Neurobiology; International Studies; ,34%,"11,721",1280-1470,630-710,650-760,44%
90,George Washington University,https://www.niche.com/colleges/george-washington-university/,A,A,A,B-,B,A+,A,A+,C+,B-,A,C+,"George Washington is a highly rated private university located in Washington, D.C. It is a large institution with an enrollment of 10,893 undergraduate students. Admissions is fairly competitive as the George Washington acceptance rate is 41%. Popular majors include Medical Laboratory Technician, International Relations, and Political Science and Government. Graduating 81% of students, George Washington alumni go on to earn a starting salary of $51,400.","2121 I Street, NW",Washington,DC,20052,41%,1280-1440,29-32,$75 ,"$37,638 ",Medical Laboratory Technician; International Relations; Political Science and Government; Economics; Nursing; Finance; Psychology; International Business; Marketing; Communications; ,41%,"26,987",1280-1440,640-720,640-720,46%
91,St. Olaf College,https://www.niche.com/colleges/st-olaf-college/,A,A,A-,A,B-,C+,A-,C+,A-,A+,B+,B,"St. Olaf is a highly rated private, Christian college located in Northfield, Minnesota. It is a small institution with an enrollment of 3,003 undergraduate students. Admissions is fairly competitive as the St. Olaf acceptance rate is 43%. Popular majors include Biology, Economics, and Psychology. Graduating 88% of students, St. Olaf alumni go on to earn a starting salary of $37,100.",1520 St Olaf Ave,Northfield,MN,55057,43%,1150-1400,25-31,$0 ,"$27,587 ",Biology; Economics; Psychology; Mathematics; Political Science and Government; Chemistry; English; Environmental Science; Arts; History; ,43%,"5,949",1150-1400,580-690,570-710,27%
92,University of California - Irvine,https://www.niche.com/colleges/university-of-california---irvine/,A,A+,A,A-,B,B-,A,B+,B+,A-,A-,B,"UC Irvine is a highly rated public university located in Irvine, California in the Los Angeles Area. It is a large institution with an enrollment of 28,855 undergraduate students. Admissions is fairly competitive as the UC Irvine acceptance rate is 37%. Popular majors include Social Psychology, Biology, and Public Health. Graduating 85% of students, UC Irvine alumni go on to earn a starting salary of $38,500.",501 Aldrich Hall,Irvine,CA,92697,37%,1170-1350,25-32,$70 ,"$13,944 ",Social Psychology; Biology; Public Health; Managerial Economics; Computer Science; Criminology; Economics; Education; Political Science and Government; Mechanical Engineering; ,37%,"85,092",1170-1350,580-650,590-700,86%
93,Florida State University,https://www.niche.com/colleges/florida-state-university/,A,A,A,A,A+,A+,A,B,B,A-,A+,C+,"Florida State is a highly rated public university located in Tallahassee, Florida. It is a large institution with an enrollment of 29,286 undergraduate students. Admissions is fairly competitive as the Florida State acceptance rate is 49%. Popular majors include Psychology, Finance, and Marketing. Graduating 80% of students, Florida State alumni go on to earn a starting salary of $35,000.",600 W College Ave,Tallahassee,FL,32306,49%,1190-1330,26-30,$30 ,"$16,450 ",Psychology; Finance; Marketing; Criminal Justice and Safety Studies; English; International Relations; Political Science and Government; Biology; Social Science Research Methods; Liberal Arts and Humanities; ,49%,"35,334",1190-1330,600-670,590-660,38%
94,University of California - San Diego,https://www.niche.com/colleges/university-of-california---san-diego/,A,A,A,B-,B,B-,A,A-,C+,B,B,B-,"UC San Diego is a highly rated public university located in San Diego, California. It is a large institution with an enrollment of 27,880 undergraduate students. Admissions is fairly competitive as the UC San Diego acceptance rate is 34%. Popular majors include Computer Science, Economics, and Biochemistry and Molecular Biology. Graduating 85% of students, UC San Diego alumni go on to earn a starting salary of $39,600.",9500 Gilman Dr,La Jolla,CA,92093,34%,1210-1410,27-33,$70 ,"$14,616 ",Computer Science; Economics; Biochemistry and Molecular Biology; Anatomy; Biology; Communications; Management Sciences and Information Systems; Political Science and Government; Electrical Engineering; Neuroscience and Neurobiology; ,34%,"88,446",1210-1410,600-680,610-730,84%
95,California Polytechnic State University - San Luis Obispo,https://www.niche.com/colleges/california-polytechnic-state-university---san-luis-obispo/,A,A+,A-,B,B+,A,B,A,B-,D+,A,B,"Cal Poly is a highly rated public university located in California. It is a large institution with an enrollment of 20,584 undergraduate students. Admissions is fairly competitive as the Cal Poly acceptance rate is 35%. Popular majors include Business, Mechanical Engineering, and Biology. Graduating 79% of students, Cal Poly alumni go on to earn a starting salary of $48,600.",1 Grand Avenue,San Luis Obispo,CA,93407,35%,1200-1380,26-31,$55 ,"$19,002 ",Business; Mechanical Engineering; Biology; Agricultural Business; Computer Science; Electrical Engineering; Animal Sciences and Husbandry; Physical Education Teaching and Coaching; Psychology; Architecture; ,35%,"48,588",1200-1380,600-680,600-700,70%
96,University of Delaware,https://www.niche.com/colleges/university-of-delaware/,A-,A,A-,A,A,A+,A,B+,B,B+,A+,B-,"UD is a highly rated public university located in Newark, Delaware in the Philadelphia Area. It is a large institution with an enrollment of 18,195 undergraduate students. Admissions is somewhat competitive as the UD acceptance rate is 63%. Popular majors include Liberal Arts and Humanities, Finance, and Marketing. Graduating 82% of students, UD alumni go on to earn a starting salary of $43,900.",104 Hullihen Hall,Newark,DE,19716,63%,1130-1330,25-29,$75 ,"$16,286 ",Liberal Arts and Humanities; Finance; Marketing; Nursing; Research and Experimental Psychology; Kinesiology and Exercise Science; Elementary Education; Biology; Behavioral Sciences; Communications; ,63%,"27,803",1130-1330,570-660,560-670,70%
97,Iowa State University,https://www.niche.com/colleges/iowa-state-university/,A-,A,A-,A,A,A,A,A-,B+,A,A+,B,"Iowa State is a highly rated public university located in Ames, Iowa. It is a large institution with an enrollment of 28,743 undergraduate students. The Iowa State acceptance rate is 89%. Popular majors include Mechanical Engineering, Kinesiology and Exercise Science, and Marketing. Graduating 73% of students, Iowa State alumni go on to earn a starting salary of $39,100.",1750 Beardshear Hall,Ames,IA,50010,89%,1160-1410,22-28,$40 ,"$13,949 ",Mechanical Engineering; Kinesiology and Exercise Science; Marketing; Agricultural Business; Liberal Arts and Humanities; Psychology; Finance; Animal Sciences and Husbandry; Elementary Education; Accounting; ,89%,"19,262",1160-1410,600-700,560-710,9%
98,American University,https://www.niche.com/colleges/american-university/,A+,A,A,B-,B,A,A-,A+,C+,C+,A-,B-,"American is a highly rated private, Christian university located in Washington, D.C. It is a mid-size institution with an enrollment of 7,764 undergraduate students. Admissions is competitive as the American acceptance rate is 29%. Popular majors include International Relations, Business, and Political Science and Government. Graduating 79% of students, American alumni go on to earn a starting salary of $43,800.",4400 Massachusetts Ave NW,Washington,DC,20016,29%,1180-1350,26-30,$70 ,"$32,732 ",International Relations; Business; Political Science and Government; Liberal Arts and Humanities; Economics; Psychology; Public Health; Communications; Public Relations; Film and Video Studies; ,29%,"18,699",1180-1350,610-690,570-660,49%
99,Texas Christian University,https://www.niche.com/colleges/texas-christian-university/,A,A-,A-,A+,A+,A,A-,B+,A,B+,A+,B-,"Texas Christian is a highly rated private, Christian university located in Fort Worth, Texas. It is a mid-size institution with an enrollment of 8,738 undergraduate students. Admissions is fairly competitive as the Texas Christian acceptance rate is 41%. Popular majors include Nursing, Communications, and Finance. Graduating 83% of students, Texas Christian alumni go on to earn a starting salary of $44,800.",2800 S University Dr,Fort Worth,TX,76129,41%,1130-1330,25-30,$50 ,"$35,363 ",Nursing; Communications; Finance; Economics; Accounting; Management Sciences and Information Systems; Public Relations; Marketing; Political Science and Government; Psychology; ,41%,"19,740",1130-1330,570-660,560-670,32%
100,Syracuse University,https://www.niche.com/colleges/syracuse-university/,A,A,A,B+,A+,A+,A,B,B-,B-,A+,C+,"Syracuse is a highly rated private university located in Syracuse, New York. It is a large institution with an enrollment of 14,675 undergraduate students. Admissions is fairly competitive as the Syracuse acceptance rate is 47%. Popular majors include Information Science, Psychology, and Finance. Graduating 83% of students, Syracuse alumni go on to earn a starting salary of $43,400.",900 South Crouse Ave.,Syracuse,NY,13244,47%,1160-1350,25-30,$75 ,"$35,306 ",Information Science; Psychology; Finance; Economics; Marketing; Political Science and Government; Radio and Television; International Relations; Biology; Architecture; ,47%,"33,099",1160-1350,580-670,580-680,66%
