,name,link,Acceptance Rate,Total_Applicants,SAT Range,SAT Reading,SAT Math,Students Submitting SAT,ACT Range,ACT English,ACT Math,ACT Writing,Students Submitting ACT
39,Haverford College,https://www.niche.com/colleges/haverford-college/admissions,20%,"4,408",1390-1530,700-760,690-770,59%,31-34,32-35,29-34,10-Aug,52%
40,Claremont McKenna College,https://www.niche.com/colleges/claremont-mckenna-college/admissions,10%,"6,349",1340-1510,660-740,680-770,45%,30-34,30-35,28-34, ,66%
41,Williams College,https://www.niche.com/colleges/williams-college/admissions,15%,"8,593",1400-1570,710-780,690-790,59%,31-35,32-35,29-34, ,60%
42,Bates College,https://www.niche.com/colleges/bates-college/admissions,22%,"5,316",1385-1460,695-730,690-730, ,30-32, , , , 
43,University of North Carolina at Chapel Hill,https://www.niche.com/colleges/university-of-north-carolina-at-chapel-hill/admissions,24%,"39,650",1270-1460,640-720,630-740,39%,28-33,28-34,27-32,9-Aug,64%
44,Wake Forest University,https://www.niche.com/colleges/wake-forest-university/admissions,28%,"13,071",1270-1410, , , ,28-32, , , , 
45,Northeastern University,https://www.niche.com/colleges/northeastern-university/admissions,27%,"54,209",1370-1520,680-750,690-770,33%,32-34,32-35,30-34,9-Jul,53%
46,Virginia Tech,https://www.niche.com/colleges/virginia-tech/admissions,70%,"27,423",1180-1360,590-670,590-690,83%,25-30,24-31,25-30, ,45%
47,University of Texas - Austin,https://www.niche.com/colleges/university-of-texas---austin/admissions,36%,"51,033",1220-1460,620-720,600-740,73%,26-33,25-34,26-32,9-Aug,64%
48,Lehigh University,https://www.niche.com/colleges/lehigh-university/admissions,25%,"13,871",1270-1430,620-700,650-730,51%,29-32,28-34,27-32, ,49%
49,Colby College,https://www.niche.com/colleges/colby-college/admissions,16%,"11,190",1340-1500,670-740,670-760,49%,31-33,31-35,28-33, ,55%
50,Boston College,https://www.niche.com/colleges/boston-college/admissions,32%,"28,454",1320-1490,660-760,660-730,60%,31-33,31-35,28-33,10-Aug,56%
51,College of William & Mary,https://www.niche.com/colleges/college-of-william--and--mary/admissions,36%,"14,921",1300-1480,660-740,640-740,73%,29-33,30-35,27-32,10-Jun,49%
